Model,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
SVC,0.8153409090909091,0.4142857142857143,0.5471698113207547,0.7740581813592479,0.44415259217546216,0.17581844329833984
ExtraTreesClassifier,0.6685552407932012,0.26811594202898553,0.6981132075471698,0.719622641509434,0.3152523753037879,0.48314499855041504
ExtraTreesClassifier,0.7762039660056658,0.38392857142857145,0.8113207547169812,0.8681132075471698,0.6581075485452554,0.45026493072509766
ExtraTreesClassifier,0.7563739376770539,0.358974358974359,0.7924528301886793,0.8543396226415094,0.5168139951312893,0.471207857131958
ExtraTreesClassifier,0.7025495750708215,0.2926829268292683,0.6666666666666666,0.7355382137990835,0.32885487411453396,0.4577314853668213
ExtraTreesClassifier,0.6988636363636364,0.288,0.6792452830188679,0.7275194043036537,0.3084461429617821,0.44991445541381836
RandomForestClassifier,0.6883852691218131,0.2857142857142857,0.7169811320754716,0.7278616352201258,0.31027896229964547,0.5440998077392578
RandomForestClassifier,0.7705382436260623,0.3813559322033898,0.8490566037735849,0.8838050314465409,0.604196145315258,0.5599203109741211
RandomForestClassifier,0.7450424929178471,0.352,0.8301886792452831,0.8485849056603774,0.5352870241371424,0.5348010063171387
RandomForestClassifier,0.7138810198300283,0.2956521739130435,0.6296296296296297,0.7268983029852596,0.31404873989832993,0.5312342643737793
RandomForestClassifier,0.7017045454545454,0.2903225806451613,0.6792452830188679,0.7501735344229192,0.3868956073700145,0.5497119426727295
GradientBoostingClassifier,0.7337110481586402,0.308411214953271,0.6226415094339622,0.7342767295597483,0.3907411418774626,0.4529740810394287
GradientBoostingClassifier,0.7790368271954674,0.391304347826087,0.8490566037735849,0.8804402515723271,0.5585253077627221,0.47244691848754883
GradientBoostingClassifier,0.7252124645892352,0.33076923076923076,0.8113207547169812,0.849245283018868,0.5545243508568228,0.46514034271240234
GradientBoostingClassifier,0.6940509915014165,0.2857142857142857,0.6666666666666666,0.7080391428217515,0.3784011550998983,0.45278286933898926
GradientBoostingClassifier,0.7982954545454546,0.4,0.6792452830188679,0.8038745503880861,0.4730884906078796,0.42113256454467773
AdaBoostClassifier,0.8215297450424929,0.42857142857142855,0.5660377358490566,0.799937106918239,0.40633925738517357,0.18072080612182617
AdaBoostClassifier,0.7705382436260623,0.375,0.7924528301886793,0.8637735849056604,0.6244187804569044,0.1471703052520752
AdaBoostClassifier,0.7620396600566572,0.3652173913043478,0.7924528301886793,0.8394339622641509,0.4977297068490705,0.180894136428833
AdaBoostClassifier,0.7422096317280453,0.32710280373831774,0.6481481481481481,0.7292208596556423,0.33182732654679525,0.18581604957580566
AdaBoostClassifier,0.8125,0.41333333333333333,0.5849056603773585,0.7705874929008646,0.42777758896800355,0.1862020492553711
XGBClassifier,0.6997167138810199,0.288,0.6792452830188679,0.7315723270440251,0.3547018215530249,0.2553253173828125
XGBClassifier,0.7620396600566572,0.3652173913043478,0.7924528301886793,0.8567295597484277,0.4897351403785342,0.22663044929504395
XGBClassifier,0.7252124645892352,0.33076923076923076,0.8113207547169812,0.8277987421383648,0.5181597907888872,0.22128891944885254
XGBClassifier,0.6855524079320113,0.272,0.6296296296296297,0.720642883686362,0.3167779602778188,0.22434258460998535
