Model,Accuracy,Precision,Recall,ROC AUC,Average Precision,Time
ExtraTreesClassifier,0.773371104815864,0.3783783783783784,0.7924528301886793,0.850943396226415,0.5562694557518123,0.23547577857971191
ExtraTreesClassifier,0.7110481586402266,0.27927927927927926,0.5849056603773585,0.7157547169811321,0.3352808811436076,0.2662622928619385
ExtraTreesClassifier,0.7195467422096318,0.3308270676691729,0.8148148148148148,0.8440170940170941,0.5244050129886142,0.2543809413909912
ExtraTreesClassifier,0.7642045454545454,0.36607142857142855,0.7735849056603774,0.8379188489935004,0.5654490288198966,0.25046491622924805
RandomForestClassifier,0.7620396600566572,0.37398373983739835,0.8679245283018868,0.8433962264150945,0.4692519211674958,0.3098325729370117
RandomForestClassifier,0.7648725212464589,0.3611111111111111,0.7358490566037735,0.854874213836478,0.5469763128883638,0.28948378562927246
RandomForestClassifier,0.71671388101983,0.2882882882882883,0.6037735849056604,0.7369811320754718,0.3715754888883373,0.30974769592285156
RandomForestClassifier,0.7195467422096318,0.3357664233576642,0.8518518518518519,0.8676142697881828,0.5428897264309425,0.30995988845825195
RandomForestClassifier,0.7869318181818182,0.3942307692307692,0.7735849056603774,0.8445447087776866,0.533278802233128,0.30448246002197266
GradientBoostingClassifier,0.7422096317280453,0.3442622950819672,0.7924528301886793,0.8298427672955975,0.4490885457176956,0.28139567375183105
GradientBoostingClassifier,0.7932011331444759,0.4074074074074074,0.8301886792452831,0.8719182389937107,0.6357472240873123,0.28887057304382324
GradientBoostingClassifier,0.7507082152974505,0.3333333333333333,0.660377358490566,0.763993710691824,0.4045454752562756,0.28319859504699707
GradientBoostingClassifier,0.7365439093484419,0.35555555555555557,0.8888888888888888,0.8544221479004088,0.5248565489065159,0.2532331943511963
GradientBoostingClassifier,0.7840909090909091,0.3925233644859813,0.7924528301886793,0.8392440209503376,0.4932237576703217,0.25602221488952637
AdaBoostClassifier,0.7592067988668555,0.35454545454545455,0.7358490566037735,0.8301572327044027,0.4493247624592934,0.20189905166625977
AdaBoostClassifier,0.8215297450424929,0.44680851063829785,0.7924528301886793,0.8715408805031446,0.6250676182492263,0.19594359397888184
AdaBoostClassifier,0.7252124645892352,0.3135593220338983,0.6981132075471698,0.7755031446540881,0.33966136093654486,0.19274282455444336
AdaBoostClassifier,0.7620396600566572,0.3684210526315789,0.7777777777777778,0.8612040133779264,0.5413281554901399,0.20775365829467773
AdaBoostClassifier,0.7954545454545454,0.4020618556701031,0.7358490566037735,0.8431564333943333,0.48189835743990894,0.19579410552978516
XGBClassifier,0.7223796033994334,0.3282442748091603,0.8113207547169812,0.8104088050314465,0.41059212371504816,0.31204938888549805
XGBClassifier,0.7677053824362606,0.37168141592920356,0.7924528301886793,0.8489937106918238,0.5782592798452757,0.3275110721588135
XGBClassifier,0.6827195467422096,0.2713178294573643,0.660377358490566,0.7283962264150944,0.39646963038125593,0.3009474277496338
XGBClassifier,0.7308781869688386,0.336,0.7777777777777778,0.8246624550972377,0.46039371981362825,0.2986447811126709
XGBClassifier,0.7613636363636364,0.36283185840707965,0.7735849056603774,0.8235628194610968,0.4454266693029514,0.29501986503601074
MLPClassifier,0.7648725212464589,0.3728813559322034,0.8301886792452831,0.8585849056603774,0.5267931339235852,0.39021730422973633
MLPClassifier,0.8016997167138811,0.41237113402061853,0.7547169811320755,0.8742138364779874,0.6436424952454031,0.42810916900634766
MLPClassifier,0.7082152974504249,0.2916666666666667,0.660377358490566,0.8021069182389937,0.4999522335294217,0.4256765842437744
MLPClassifier,0.7478753541076487,0.366412213740458,0.8888888888888888,0.8745200049547875,0.574123375501313,0.424182653427124
MLPClassifier,0.7585227272727273,0.35714285714285715,0.7547169811320755,0.8594055657222187,0.5788484485042954,0.39661145210266113
